time,ENGINE_RPM,SPEED,THROTTLE_POS,Max_Torque(Nm),Cmd_Torque(Nm),Gear,IntkGasMassFlw,NrmlzdAirChrg,Afr,FuelMassFlw,ExhManGasTemp,EngTrq,Bsfc,PwrTrnsfrd,PwrFuel
0,1098,0,22,42.976,9.455,0,0.002065777,0.133902754,14.6,0.000141492,708.1228436,3.962753682,297.4259874,455.6464975,5376.680091
1,1094,7,29,42.697,12.382,1,0.002695721,0.17537434,14.6,0.000184638,707.1052391,9.798530395,389.5426265,1122.553076,7016.260734
2,1092,0,26,42.557,11.065,0,0.002404721,0.156729387,14.6,0.000164707,706.5964369,7.175863093,348.1280438,820.5884515,6258.862629
3,1058,1,28,40.163,11.246,1,0.002370238,0.159446369,14.6,0.000162345,697.9467989,7.557786004,354.1468049,837.3535706,6169.111933
4,1013,6,24,36.942,8.866,1,0.001804906,0.126810006,14.6,0.000123624,702.3113152,2.897125235,282.5191301,307.3302664,4697.700398
5,1036,11,26,38.595,10.035,2,0.002078906,0.14281819,14.6,0.000142391,699.1983746,5.1783846,317.6604832,561.8012172,5410.851642
6,1184,9,28,48.867,13.683,1,0.003216714,0.193361096,14.6,0.000220323,730.0013396,12.37962613,429.428709,1534.927438,8372.268525
7,1005,0,26,36.363,9.454,0,0.001912805,0.135460645,14.6,0.000131014,703.3940771,4.068467188,301.9472313,428.1791321,4978.534808
8,1093,0,26,42.627,11.083,0,0.002410772,0.156980047,14.6,0.000165121,706.850838,7.211056486,348.6849666,825.3680958,6274.613289
9,1917,15,31,90.299,27.993,1,0.007827671,0.290615556,14.6,0.000536142,959.1777989,28.04856358,347.6291549,5630.686606,20373.3909
10,1021,0,26,37.519,9.755,0,0.001998064,0.139281064,14.6,0.000136854,701.2285532,4.642489365,310.1342999,496.3697168,5200.440916
11,1003,0,26,36.218,9.417,0,0.00190238,0.134990981,14.6,0.0001303,703.6647676,3.998107964,300.9376312,419.9369296,4951.400256
12,1000,0,23,36,8.28,0,0.001668812,0.118772468,14.6,0.000114302,704.0708033,1.760705568,264.8297126,184.380656,4343.483019
13,1808,30,35,85.132,29.796,3,0.007645123,0.300950053,14.6,0.000523639,950.1427737,29.86590099,340.8067829,5654.610107,19898.26444
14,1207,6,27,50.406,13.61,1,0.003259986,0.192228088,14.6,0.000223287,735.8525653,12.22964974,426.8723199,1545.787913,8484.894848
15,1003,0,26,36.218,9.417,0,0.00190238,0.134990981,14.6,0.0001303,703.6647676,3.998107964,300.9376312,419.9369296,4951.400256
